"STATISTIC","Statistic Label","TLIST(A1)","Census Year","C04167V04938","Electoral Divisions","UNIT","VALUE"
"F1011C01","Population - 2022","2022","2022","2ae19629-1a58-13a3-e055-000000000001","Williamstown, Carlow","Number","327"
"F1011C01","Population - 2022","2022","2022","2ae19629-1ceb-13a3-e055-000000000001","Arran Quay A, Dublin City","Number","1784"
"F1011C01","Population - 2022","2022","2022","2ae19629-1cec-13a3-e055-000000000001","Arran Quay B, Dublin City","Number","5529"
"F1011C01","Population - 2022","2022","2022","2ae19629-1ced-13a3-e055-000000000001","Arran Quay C, Dublin City","Number","4646"
"F1011C01","Population - 2022","2022","2022","2ae19629-1cee-13a3-e055-000000000001","Arran Quay D, Dublin City","Number","3308"
"F1011C01","Population - 2022","2022","2022","2ae19629-1cef-13a3-e055-000000000001","Arran Quay E, Dublin City","Number","3377"
"F1011C01","Population - 2022","2022","2022","2ae19629-1cf0-13a3-e055-000000000001","Ashtown A, Dublin City","Number","12094"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d03-13a3-e055-000000000001","Ashtown B, Dublin City","Number","2843"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d04-13a3-e055-000000000001","Ayrfield, Dublin City","Number","5863"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d05-13a3-e055-000000000001","Ballybough A, Dublin City","Number","4004"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d06-13a3-e055-000000000001","Ballybough B, Dublin City","Number","4184"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d08-13a3-e055-000000000001","Ballygall A, Dublin City","Number","3602"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d09-13a3-e055-000000000001","Ballygall B, Dublin City","Number","1930"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d07-13a3-e055-000000000001","Ballygall C, Dublin City","Number","3646"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d0a-13a3-e055-000000000001","Ballygall D, Dublin City","Number","2526"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d0b-13a3-e055-000000000001","Ballymun A, Dublin City","Number","5735"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d0c-13a3-e055-000000000001","Ballymun B, Dublin City","Number","4273"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d0d-13a3-e055-000000000001","Ballymun C, Dublin City","Number","5729"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d0e-13a3-e055-000000000001","Ballymun D, Dublin City","Number","2551"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d0f-13a3-e055-000000000001","Ballymun E, Dublin City","Number","1674"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d10-13a3-e055-000000000001","Ballymun F, Dublin City","Number","2359"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d11-13a3-e055-000000000001","Beaumont A, Dublin City","Number","2668"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d12-13a3-e055-000000000001","Beaumont B, Dublin City","Number","5103"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d21-13a3-e055-000000000001","Beaumont C, Dublin City","Number","3382"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d22-13a3-e055-000000000001","Beaumont D, Dublin City","Number","2085"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d23-13a3-e055-000000000001","Beaumont E, Dublin City","Number","1941"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d24-13a3-e055-000000000001","Beaumont F, Dublin City","Number","3893"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d25-13a3-e055-000000000001","Botanic A, Dublin City","Number","3331"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d26-13a3-e055-000000000001","Botanic B, Dublin City","Number","3606"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d27-13a3-e055-000000000001","Botanic C, Dublin City","Number","2362"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d28-13a3-e055-000000000001","Cabra East A, Dublin City","Number","5910"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d29-13a3-e055-000000000001","Cabra East B, Dublin City","Number","3746"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d2a-13a3-e055-000000000001","Cabra East C, Dublin City","Number","4239"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d2b-13a3-e055-000000000001","Cabra West A, Dublin City","Number","1441"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d2c-13a3-e055-000000000001","Cabra West B, Dublin City","Number","2646"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d2d-13a3-e055-000000000001","Cabra West C, Dublin City","Number","2883"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d2e-13a3-e055-000000000001","Cabra West D, Dublin City","Number","2816"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d31-13a3-e055-000000000001","Carna, Dublin City","Number","2897"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d2f-13a3-e055-000000000001","Chapelizod, Dublin City","Number","3397"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d30-13a3-e055-000000000001","Cherry Orchard A, Dublin City","Number","3465"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d42-13a3-e055-000000000001","Cherry Orchard C, Dublin City","Number","4815"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d43-13a3-e055-000000000001","Clontarf East A, Dublin City","Number","3626"
"F1011C01","Population - 2022","2022","2022","2ae19629-1d44-13a3-e055-000000000001","Clontarf East B, Dublin City","Number","7204"
