STATISTIC,STATISTIC Label,TLIST(A1),Year,Town,C02172V02618,Type of Vehicle Registration,C01841V02268,Type of Fuel,UNIT,VALUE
TEA17,New Vehicles Licensed for the First Time,2019,2019,Clondalkin,012,New Goods Vehicles,6,Electric,Number,293
TEA17,New Vehicles Licensed for the First Time,2019,2019,Palmerstown Fonthill,013,New Tractors,6,Electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2019,2019,Palmerstown Fonthill,014,New Motor Cycles,6,Electric,Number,32
TEA17,New Vehicles Licensed for the First Time,2019,2019,Rathfarnham_Templeogue,015,New Exempt Vehicles,6,Electric,Number,11
TEA17,New Vehicles Licensed for the First Time,2019,2019,Rathfarnham_Templeogue,01601,New Public Service Vehicles,6,Electric,Number,23
TEA17,New Vehicles Licensed for the First Time,2019,2019,Rathfarnham_Templeogue,016011,New Small Public Service Vehicles,6,Electric,Number,23
TEA17,New Vehicles Licensed for the First Time,2019,2019,Rathfarnham_Templeogue,016012,New Large Public Service Vehicles,6,Electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2019,2019,Rathfarnham_Templeogue,01604,New Machines or Contrivances,6,Electric,Number,1
TEA17,New Vehicles Licensed for the First Time,2019,2019,Tallaght Central,01605,Other Classes New Other Vehicles,6,Electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2020,2020,Tallaght South,-,All Vehicles,6,Electric,Number,4443
TEA17,New Vehicles Licensed for the First Time,2020,2020,Tallaght South,011,New Private Cars,6,Electric,Number,3940
TEA17,New Vehicles Licensed for the First Time,2020,2020,Jobstown,012,New Goods Vehicles,6,Electric,Number,443
TEA17,New Vehicles Licensed for the First Time,2020,2020,Rathfarnham -Templeogue,013,New Tractors,6,Electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2020,2020,Rathfarnham -Templeogue,014,New Motor Cycles,6,Electric,Number,34
TEA17,New Vehicles Licensed for the First Time,2020,2020,Rathfarnham -Templeogue,015,New Exempt Vehicles,6,Electric,Number,22
TEA17,New Vehicles Licensed for the First Time,2020,2020,Rathfarnham -Templeogue,01601,New Public Service Vehicles,6,Electric,Number,3
TEA17,New Vehicles Licensed for the First Time,2020,2020,Rathfarnham -Templeogue,016011,New Small Public Service Vehicles,6,Electric,Number,3
TEA17,New Vehicles Licensed for the First Time,2020,2020,Rathfarnham -Templeogue,016012,New Large Public Service Vehicles,6,Electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2020,2020,Rathfarnham -Templeogue,01604,New Machines or Contrivances,6,Electric,Number,1
TEA17,New Vehicles Licensed for the First Time,2020,2020,Firhouse-Bohernabreena,01605,Other Classes New Other Vehicles,6,Electric,Number,0
TEA17,New Vehicles Licensed for the First Time,2021,2021,Clondalkin,-,All Vehicles,6,Electric,Number,9616
TEA17,New Vehicles Licensed for the First Time,2021,2021,Clondalkin,011,New Private Cars,6,Electric,Number,8554
TEA17,New Vehicles Licensed for the First Time,2021,2021,Clondalkin,012,New Goods Vehicles,6,Electric,Number,894
TEA17,New Vehicles Licensed for the First Time,2021,2021,Clondalkin,013,New Tractors,6,Electric,Number,0
